wave_bill_id,invoice_date,vendor,invoice_number,bill_total_cents,allocation_total_cents,ap_line_cents,journal_entry_id,status
1,2023-06-01,Town of Amherst - Bill,,80500,80500,80500,WAVE_BILL_ACCRUAL_1,posted
2,2023-06-06,Mondoux - Bill 8100248,8100248,45225,45225,45225,WAVE_BILL_ACCRUAL_2,posted
3,2023-06-07,Pharmasave - Bill,,2108,2108,2108,WAVE_BILL_ACCRUAL_3,posted
4,2023-06-07,Gov't of Nova Scotia - Bill 5932,5932,22259,22259,22259,WAVE_BILL_ACCRUAL_4,posted
5,2023-06-08,GFS - Bill 9002081541,9002081541,26568,26568,26568,WAVE_BILL_ACCRUAL_5,posted
7,2023-06-16,GFS - Bill 9002186430,9002186430,14004,14004,14004,WAVE_BILL_ACCRUAL_7,posted
8,2023-06-16,GFS - Bill 9002189920,9002189920,10250,10250,10250,WAVE_BILL_ACCRUAL_8,posted
9,2023-06-16,Pharmasave - Bill,,574,574,574,WAVE_BILL_ACCRUAL_9,posted
10,2023-06-29,JE Hastings Limited - Bill 107559,107559,79488,79488,79488,WAVE_BILL_ACCRUAL_10,posted
11,2023-06-29,Capital Foods - Bill 2506676,2506676,120080,120080,120080,WAVE_BILL_ACCRUAL_11,posted
12,2023-06-30,Pharmasave - Bill,,3819,3819,3819,WAVE_BILL_ACCRUAL_12,posted
716,2023-06-30,CIBC - Bill June Fees,CIBC-FEES-2023-06,947,947,947,WAVE_BILL_ACCRUAL_716,posted
736,2023-06-30,CIBC - Cash Deposit Fee,DEPOSIT-FEE-001,22,22,22,WAVE_BILL_ACCRUAL_736,posted
13,2023-07-01,Town of Amherst - Bill,,40250,40250,40250,WAVE_BILL_ACCRUAL_13,posted
14,2023-07-08,Pharmasave - Bill,,3319,3319,3319,WAVE_BILL_ACCRUAL_14,posted
15,2023-07-23,Costco - Bill 22134501302122307231334,22134501302122307231334,99488,99488,99488,WAVE_BILL_ACCRUAL_15,posted
16,2023-07-27,Walmart - Bill,,7627,7627,7627,WAVE_BILL_ACCRUAL_16,posted
17,2023-07-31,Amazon - Bill,,2644,2644,2644,WAVE_BILL_ACCRUAL_17,posted
18,2023-07-31,CIBC - Bill july fees,,1425,1425,1425,WAVE_BILL_ACCRUAL_18,posted
19,2023-08-01,Town of Amherst - Bill,,40250,40250,40250,WAVE_BILL_ACCRUAL_19,posted
20,2023-08-08,Walmart - Bill 6870208,6870208,4370,4370,4370,WAVE_BILL_ACCRUAL_20,posted
21,2023-08-09,Walmart - Bill,,859,859,859,WAVE_BILL_ACCRUAL_21,posted
22,2023-08-09,Walmart - Bill,,859,859,859,WAVE_BILL_ACCRUAL_22,posted
23,2023-08-11,Costco - Bill 22134501201752308111243,22134501201752308111243,58238,58238,58238,WAVE_BILL_ACCRUAL_23,posted
24,2023-08-11,GFS - Bill 9002912093,9002912093,115764,115764,115764,WAVE_BILL_ACCRUAL_24,posted
25,2023-08-11,GFS - Bill 9002908697,9002908697,12391,12391,12391,WAVE_BILL_ACCRUAL_25,posted
26,2023-08-11,Wholesale Club - Bill,,64368,64368,64368,WAVE_BILL_ACCRUAL_26,posted
27,2023-08-12,Pharmasave - Bill,,2169,2169,2169,WAVE_BILL_ACCRUAL_27,posted
717,2023-08-14,Walmart - Bill,STUB-WALMART-COGS-20230814,3447,3447,3447,WAVE_BILL_ACCRUAL_717,posted
718,2023-08-14,Dollarama - Bill,STUB-DOLLARAMA-COGS-20230814,5014,5014,5014,WAVE_BILL_ACCRUAL_718,posted
28,2023-08-15,Pharmasave - Bill,,2451,2451,2451,WAVE_BILL_ACCRUAL_28,posted
29,2023-08-21,Costco - Bill 22134501000312308211156,22134501000312308211156,112951,112951,112951,WAVE_BILL_ACCRUAL_29,posted
30,2023-08-30,Amazon - Bill,,1954,1954,1954,WAVE_BILL_ACCRUAL_30,posted
31,2023-08-31,CIBC - Bill August Fees,,1100,1100,1100,WAVE_BILL_ACCRUAL_31,posted
32,2023-09-01,Acandian Printing - Bill,,5175,5175,5175,WAVE_BILL_ACCRUAL_32,posted
33,2023-09-01,Walmart - Bill,,2561,2561,2561,WAVE_BILL_ACCRUAL_33,posted
34,2023-09-01,Town of Amherst - Bill,,86250,86250,86250,WAVE_BILL_ACCRUAL_34,posted
35,2023-09-01,Wholesale Club - Bill,,194291,194291,194291,WAVE_BILL_ACCRUAL_35,posted
36,2023-09-01,GFS - Bill 9003246118,9003246118,36318,36318,36318,WAVE_BILL_ACCRUAL_36,posted
37,2023-09-02,Amazon - Bill,,2995,2995,2995,WAVE_BILL_ACCRUAL_37,posted
38,2023-09-02,Amazon - Bill,,2995,2995,2995,WAVE_BILL_ACCRUAL_38,posted
39,2023-09-03,Wholesale Club - Bill,,30397,30397,30397,WAVE_BILL_ACCRUAL_39,posted
722,2023-09-05,Walmart - Bill,STUB-WALMART-REIMBURSE-20230905,7627,7627,7627,WAVE_BILL_ACCRUAL_722,posted
40,2023-09-07,Pharmasave - Bill,,1734,1734,1734,WAVE_BILL_ACCRUAL_40,posted
41,2023-09-07,Costco - Bill,,9254,9254,9254,WAVE_BILL_ACCRUAL_41,posted
42,2023-09-07,Capital Foods - Bill 2520102,2520102,103745,103745,103745,WAVE_BILL_ACCRUAL_42,posted
43,2023-09-07,GFS - Bill 9003327039,9003327039,104634,104634,104634,WAVE_BILL_ACCRUAL_43,posted
44,2023-09-08,Pharmasave - Bill,,2607,2607,2607,WAVE_BILL_ACCRUAL_44,posted
45,2023-09-08,Costco - Bill 22134501101702309081257,22134501101702309081257,152352,152352,152352,WAVE_BILL_ACCRUAL_45,posted
46,2023-09-08,Dollarama - Bill,,13790,13790,13790,WAVE_BILL_ACCRUAL_46,posted
47,2023-09-09,Atlantic Superstore - Bill,,10740,10740,10740,WAVE_BILL_ACCRUAL_47,posted
48,2023-09-11,GFS - Bill 9003386079,9003386079,24457,24457,24457,WAVE_BILL_ACCRUAL_48,posted
49,2023-09-12,Canadian Tire Gas - Bill,,7010,7010,7010,WAVE_BILL_ACCRUAL_49,posted
51,2023-09-14,Irving - Bill,,5876,5876,5876,WAVE_BILL_ACCRUAL_51,posted
52,2023-09-15,Atlantic Superstore - Bill,,7684,7684,7684,WAVE_BILL_ACCRUAL_52,posted
54,2023-09-15,Pharmasave - Bill,,2831,2831,2831,WAVE_BILL_ACCRUAL_54,posted
55,2023-09-15,GFS - Bill 9003462485,9003462485,27323,27323,27323,WAVE_BILL_ACCRUAL_55,posted
56,2023-09-15,GFS - Bill 9003468379,9003468379,80876,80876,80876,WAVE_BILL_ACCRUAL_56,posted
57,2023-09-17,Pharmasave - Bill,,613,613,613,WAVE_BILL_ACCRUAL_57,posted
58,2023-09-18,Pharmasave - Bill,,8437,8437,8437,WAVE_BILL_ACCRUAL_58,posted
59,2023-09-18,Covered Bridge - Bill,,37856,37856,37856,WAVE_BILL_ACCRUAL_59,posted
60,2023-09-18,Amazon - Bill,,2532,2532,2532,WAVE_BILL_ACCRUAL_60,posted
61,2023-09-21,Costco - Bill 22134501302212309211505,22134501302212309211505,234693,234693,234693,WAVE_BILL_ACCRUAL_61,posted
62,2023-09-21,GFS - Bill 9003558293,9003558293,97396,97396,97396,WAVE_BILL_ACCRUAL_62,posted
63,2023-09-21,GFS - Bill 9003552766,9003552766,6677,6677,6677,WAVE_BILL_ACCRUAL_63,posted
64,2023-09-23,Pharmasave - Bill,,988,988,988,WAVE_BILL_ACCRUAL_64,posted
65,2023-09-24,Dollarama - Bill,,53875,53875,53875,WAVE_BILL_ACCRUAL_65,posted
66,2023-09-24,Walmart - Bill,,4018,4018,4018,WAVE_BILL_ACCRUAL_66,posted
67,2023-09-24,Walmart - Bill,,10410,10410,10410,WAVE_BILL_ACCRUAL_67,posted
68,2023-09-25,Dollarama - Bill,,5635,5635,5635,WAVE_BILL_ACCRUAL_68,posted
69,2023-09-25,Canadian Tire - Bill,,3771,3771,3771,WAVE_BILL_ACCRUAL_69,posted
70,2023-09-26,Mondoux - Bill 8100361,8100361,86705,86705,86705,WAVE_BILL_ACCRUAL_70,posted
71,2023-09-27,Costco - Bill 22134501202012309271442,22134501202012309271442,121536,121536,121536,WAVE_BILL_ACCRUAL_71,posted
72,2023-09-28,Capital Foods - Bill 2523999,2523999,109656,109656,109656,WAVE_BILL_ACCRUAL_72,posted
73,2023-09-28,GFS - Bill 9003665333,9003665333,60503,60503,60503,WAVE_BILL_ACCRUAL_73,posted
737,2023-09-29,CIBC - Cash Deposit Fee,DEPOSIT-FEE-002,1125,1125,1125,WAVE_BILL_ACCRUAL_737,posted
709,2023-09-30,CIBC - Bill September Fees,CIBC-FEES-2023-09,7925,7925,7925,WAVE_BILL_ACCRUAL_709,posted
74,2023-10-01,Town of Amherst - Bill,,86250,86250,86250,WAVE_BILL_ACCRUAL_74,posted
75,2023-10-01,Atlantic Superstore - Bill,,10403,10403,10403,WAVE_BILL_ACCRUAL_75,posted
76,2023-10-03,Amazon - Bill,,1954,1954,1954,WAVE_BILL_ACCRUAL_76,posted
77,2023-10-04,Pharmasave - Bill,,2996,2996,2996,WAVE_BILL_ACCRUAL_77,posted
78,2023-10-04,Amazon - Bill,,7638,7638,7638,WAVE_BILL_ACCRUAL_78,posted
79,2023-10-05,GFS - Bill 9003775625,9003775625,99848,99848,99848,WAVE_BILL_ACCRUAL_79,posted
80,2023-10-06,Costco - Bill 22055101203462310061725,22055101203462310061725,85132,85132,85132,WAVE_BILL_ACCRUAL_80,posted
81,2023-10-06,Atlantic Superstore - Bill,,10193,10193,10193,WAVE_BILL_ACCRUAL_81,posted
82,2023-10-09,Atlantic Superstore - Bill,,10196,10196,10196,WAVE_BILL_ACCRUAL_82,posted
83,2023-10-09,Pharmasave - Bill,,8249,8249,8249,WAVE_BILL_ACCRUAL_83,posted
84,2023-10-09,Pharmasave - Bill,,8249,8249,8249,WAVE_BILL_ACCRUAL_84,posted
85,2023-10-10,Pharmasave - Bill,,1024,1024,1024,WAVE_BILL_ACCRUAL_85,posted
719,2023-10-11,GFS - Bill,STUB-GFS-CASH-COGS-20231011,40000,40000,40000,WAVE_BILL_ACCRUAL_719,posted
86,2023-10-12,Capital Foods - Bill 2526446,2526446,104085,104085,104085,WAVE_BILL_ACCRUAL_86,posted
87,2023-10-12,GFS - Bill 9003882687,9003882687,85831,85831,85831,WAVE_BILL_ACCRUAL_87,posted
768,2023-10-12,GFS Damaged - Oil/Chicken/Cheese Curds (COGS),STUB-GFS-DAMAGED-20231012,86250,86250,86250,WAVE_BILL_ACCRUAL_768,posted
88,2023-10-13,Atlantic Superstore - Bill,,22407,22407,22407,WAVE_BILL_ACCRUAL_88,posted
89,2023-10-14,Pharmasave - Bill,,6254,6254,6254,WAVE_BILL_ACCRUAL_89,posted
91,2023-10-15,Pharmasave - Bill,,4827,4827,4827,WAVE_BILL_ACCRUAL_91,posted
92,2023-10-16,Walmart - Bill,,23673,23673,23673,WAVE_BILL_ACCRUAL_92,posted
94,2023-10-17,Amazon - Bill,,16785,16785,16785,WAVE_BILL_ACCRUAL_94,posted
95,2023-10-18,Pharmasave - Bill,,1293,1293,1293,WAVE_BILL_ACCRUAL_95,posted
96,2023-10-19,GFS - Bill 9003993508,9003993508,83481,83481,83481,WAVE_BILL_ACCRUAL_96,posted
97,2023-10-20,Pharmasave - Bill,,5216,5216,5216,WAVE_BILL_ACCRUAL_97,posted
98,2023-10-21,Amazon - Bill,,3449,3449,3449,WAVE_BILL_ACCRUAL_98,posted
99,2023-10-21,Costco - Bill,,6254,6254,6254,WAVE_BILL_ACCRUAL_99,posted
